course_code,last_period_gathered,last_period_failed,relevant_periods,last_scrape_during_grace_period,created_at,updated_at
AS.001.059,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.060,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.061,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.062,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.063,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.064,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.065,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.066,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.067,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.068,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.069,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.070,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.071,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.072,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.073,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.074,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.075,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.076,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.077,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.078,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.079,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.080,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.081,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.082,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.083,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.084,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.085,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.086,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.087,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.088,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.089,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.090,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.091,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.092,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.093,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.094,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.095,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.096,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.097,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.098,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.099,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.100,SU25,false,"[""AS.001.100.01.FA21"",""AS.001.100.01.FA22"",""AS.001.100.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:15:37.383361+00
AS.001.101,SU25,false,"[""AS.001.101.01.FA21"",""AS.001.101.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.102,SU25,false,"[""AS.001.102.01.FA21""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:15:57.597851+00
AS.001.103,SU25,false,"[""AS.001.103.01.FA21""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.104,SU25,false,"[""AS.001.104.01.FA21"",""AS.001.104.01.FA22"",""AS.001.104.01.FA23"",""AS.001.104.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.105,SU25,false,"[""AS.001.105.01.FA21"",""AS.001.105.01.FA22"",""AS.001.105.01.FA23"",""AS.001.105.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.106,SU25,false,"[""AS.001.106.01.FA21""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.107,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.108,SU25,false,"[""AS.001.108.01.FA21"",""AS.001.108.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.109,SU25,false,"[""AS.001.109.01.FA21"",""AS.001.109.01.FA22"",""AS.001.109.01.FA23"",""AS.001.109.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.110,SU25,false,"[""AS.001.110.01.FA21"",""AS.001.110.01.FA22"",""AS.001.110.01.FA23"",""AS.001.110.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.111,SU25,false,"[""AS.001.111.01.FA21"",""AS.001.111.01.FA22"",""AS.001.111.01.FA23"",""AS.001.111.02.FA23"",""AS.001.111.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.112,SU25,false,"[""AS.001.112.01.FA21"",""AS.001.112.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.113,SU25,false,"[""AS.001.113.01.FA21"",""AS.001.113.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.114,SU25,false,"[""AS.001.114.02.FA21"",""AS.001.114.01.FA21""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.115,SU25,false,"[""AS.001.115.01.FA21"",""AS.001.115.01.FA22"",""AS.001.115.01.FA23"",""AS.001.115.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.116,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.117,SU25,false,"[""AS.001.117.01.FA21"",""AS.001.117.01.FA22"",""AS.001.117.01.FA23"",""AS.001.117.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.118,SU25,false,"[""AS.001.118.01.FA21"",""AS.001.118.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.119,SU25,false,"[""AS.001.119.01.FA21"",""AS.001.119.01.FA22"",""AS.001.119.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.120,SU25,false,"[""AS.001.120.01.SP22"",""AS.001.120.01.FA22"",""AS.001.120.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.121,SU25,false,"[""AS.001.121.01.SP22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.122,SU25,false,"[""AS.001.122.01.SP22"",""AS.001.122.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.123,SU25,false,"[""AS.001.123.01.SP22"",""AS.001.123.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.124,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.125,SU25,false,"[""AS.001.125.01.SP22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.126,SU25,false,[],,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.127,SU25,false,"[""AS.001.127.01.SP22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.128,SU25,false,"[""AS.001.128.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.129,SU25,false,"[""AS.001.129.01.SP22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.130,SU25,false,"[""AS.001.130.01.SP22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.131,SU25,false,"[""AS.001.131.01.SP22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.132,SU25,false,"[""AS.001.132.01.FA22"",""AS.001.132.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.133,SU25,false,"[""AS.001.133.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.134,SU25,false,"[""AS.001.134.01.SP22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.135,SU25,false,"[""AS.001.135.01.FA22"",""AS.001.135.01.FA23"",""AS.001.135.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.136,SU25,false,"[""AS.001.136.01.FA22"",""AS.001.136.01.FA23"",""AS.001.136.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.137,SU25,false,"[""AS.001.137.01.FA22"",""AS.001.137.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.138,SU25,false,"[""AS.001.138.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.139,SU25,false,"[""AS.001.139.01.FA22"",""AS.001.139.01.FA24""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.140,SU25,false,"[""AS.001.140.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.141,SU25,false,"[""AS.001.141.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.142,SU25,false,"[""AS.001.142.01.FA22""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.143,SU25,false,"[""AS.001.143.01.FA22"",""AS.001.143.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.144,SU25,false,"[""AS.001.144.01.FA22"",""AS.001.144.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
AS.001.145,SU25,false,"[""AS.001.145.01.FA22"",""AS.001.145.01.FA23""]",,2025-09-23 21:57:09.46272+00,2025-09-28 20:20:18.346352+00
